溶解氧,7.5,6,5,3,2
高锰酸盐指数,2,4,6,10,15
化学需氧量,15,15,20,30,40
生化需氧量,3,3,4,6,10
氨氮,0.15,0.5,1,1.5,2
总磷(河流),0.02,0.1,0.2,0.3,0.4
总磷(湖库),0.01,0.025,0.05,0.1,0.2
总氮,0.2,0.5,1,1.5,2
铜,0.01,1,1,1,1
锌,0.05,1,1,2,2
氟化物,1,1,1,1.5,1.5
硒,0.01,0.01,0.01,0.02,0.02
砷,0.05,0.05,0.05,0.1,0.1
汞,0.00005,0.00005,0.0001,0.001,0.001
镉,0.001,0.005,0.005,0.005,0.01
铬,0.01,0.05,0.05,0.05,0.1
铅,0.01,0.01,0.05,0.05,0.1
氰化物,0.005,0.05,0.2,0.2,0.2
挥发酚,0.002,0.002,0.005,0.01,0.1
石油类,0.05,0.05,0.05,0.5,1
阴离子表面活性剂,0.2,0.2,0.2,0.3,0.3
硫化物,0.05,0.1,0.2,0.5,1
粪大肠菌群,200,2000,10000,20000,40000
硫酸盐,250
氯化物,250
硝酸盐,10
铁,0.3
锰,0.1
